length_mm,size_grouping,date,day_of_year,migration_timing,month,day,tissue type,Identifier 2,percent_n,percent_c,d15N,d13C
410,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.9827322,20.6682837,14.976,-25.951
410,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.4974486,21.0391985,15.061,-25.496
410,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.8276326,23.6632311,14.746,-26.567
410,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.6477508,19.3397211,15.045,-23.886
410,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,7.5809347,26.164369,14.943,-21.932
415,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.5488856,32.729389,15.088,-28.622
420,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.8036075,30.3180785,15.748,-28.617
420,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.3767776,28.9974538,16.071,-28.246
420,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,9.372161,36.8309707,15.822,-28.968
420,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.7380976,34.1851322,15.771,-28.859
420,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.0723821,21.5302296,15.564,-26.414
420,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.1721602,20.7092009,15.793,-23.929
420,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,7.4440058,26.3956093,15.395,-25.912
425,below 500mm,3/10/12,70,before Salmonid migration,3,10,fin,Walleye,9.4794532,35.3406832,16.949,-27.647
425,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,6.3596206,23.6921385,15.694,-27.012
425,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.9462108,34.0145955,16.151,-27.705
425,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.8940784,20.8257228,15.575,-26.202
429,below 500mm,3/10/12,70,before Salmonid migration,3,10,fin,Walleye,9.6429832,35.3449494,15.632,-28.666
430,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.2422329,31.280767,16.148,-27.805
430,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,6.8179919,28.119458,16.517,-27.801
430,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.2308506,25.913699,16.832,-27.553
430,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,10.2933455,41.4635796,14.921,-27.247
430,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.5665636,34.5888375,16.247,-24.517
430,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.1261959,31.7114562,16.721,-27.597
430,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,9.8562649,38.4071305,16.782,-28.608
430,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.785703,32.4664456,16.186,-27.604
430,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,6.6057907,25.7085371,15.944,-27.404
430,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.934474,36.0365314,17.342,-26.721
430,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.0993328,21.0341035,15.211,-25.89
430,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.4450657,18.6979973,15.135,-26.378
430,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.3210524,21.6396229,15.427,-26.076
430,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,6.3464686,17.3892861,15.483,-25.68
430,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.322799,22.351444,14.556,-25.076
430,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.5221697,21.8456218,15.517,-24.585
430,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.9058573,20.2391202,15.035,-25.997
431,below 500mm,3/10/12,70,before Salmonid migration,3,10,fin,Walleye,9.7969815,34.2632802,16.596,-27.794
435,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.6963396,33.7570623,16.054,-28.181
435,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.7045924,29.6512902,16.008,-27.744
435,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.6900881,29.2755427,15.769,-27.946
435,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.4600979,32.1899912,15.792,-28.48
435,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.4305042,29.1315098,15.462,-26.404
435,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,9.4403925,37.2569015,16.322,-27.69
435,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.5068831,18.9301093,15.62,-25.988
435,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.4394196,19.0566668,15.653,-25.95
435,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.2195191,21.4592531,15.403,-24.245
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.9813804,30.4246976,14.99,-26.821
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.086702,26.749623,15.502,-27.277
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,9.415918,36.4474832,16.243,-28.713
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.4976575,32.3088565,16.432,-27.456
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.2176695,27.0663134,16.342,-26.49
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.0608766,26.5294155,15.218,-27.646
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.9248417,31.3384299,15.354,-28.878
440,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.1479429,28.4619599,15.598,-27.823
440,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.0618736,30.4737147,15.803,-28.623
440,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.8997809,26.7380046,15.963,-28.186
440,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.5491647,29.0216441,16.213,-26.733
440,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.513441,28.7899625,15.748,-27.925
440,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,6.8302965,24.3475813,14.276,-26.798
440,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.1539517,21.3835442,15.613,-25.235
440,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.502315,20.6873946,14.8,-24.156
440,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.2319993,20.9761431,15.11,-26.045
445,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.1564312,26.7868548,15.489,-25.904
445,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.7477289,32.1329718,15.569,-28.005
445,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,6.6883566,25.9431652,15.513,-27.136
445,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.1845995,28.7222758,15.45,-28.301
445,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.6313277,26.3334047,15.414,-27.649
445,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,7.0283544,24.7021726,15.198,-27.474
450,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.3698409,31.3288099,16.474,-27.596
450,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.7895806,35.0680066,16.181,-27.35
450,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,9.0072284,34.1136642,16.051,-27.333
450,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.6276136,33.5453782,16.868,-27.363
450,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.9071872,34.5561448,15.689,-29.283
450,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.4987844,28.4097506,15.735,-27.057
450,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.9094102,34.6069856,16.544,-27.045
450,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,6.5831192,25.5781087,15.69,-27.918
450,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,6.0424106,21.4706796,15.844,-26.832
450,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.5435509,21.3423062,14.888,-26.36
450,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.0644297,21.0433773,15.049,-24.636
460,below 500mm,3/10/12,70,before Salmonid migration,3,10,fin,Walleye,6.6316348,23.014003,15.912,-27.131
460,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.5333648,31.9675219,15.895,-27.309
460,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,10.5537766,40.6680364,16.234,-29.203
460,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,9.3842523,36.0434993,16.756,-27.373
460,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.761606,29.1315238,15.924,-28.706
460,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.6459939,34.2813702,15.499,-26.546
460,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.1212863,27.8884509,15.666,-26.893
460,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.5873152,27.9412956,15.256,-28.17
460,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.3466508,28.4228452,15.65,-27.928
460,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,6.1081992,21.7362383,15.499,-25.747
460,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.3549212,18.3439341,15.869,-23.25
460,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.1328201,20.8999863,15.889,-24.404
460,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.6878139,21.2903368,15.194,-24.347
460,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.6222305,21.2826696,14.857,-24.043
460,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.7699291,19.6598379,15.334,-26.075
460,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.7106392,18.8288478,15.579,-24.857
460,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.8736398,23.1700989,15.495,-25.314
465,below 500mm,3/10/12,70,before Salmonid migration,3,10,fin,Walleye,10.3910835,34.3022632,16.03,-28.058
465,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.1813822,32.2905392,15.641,-29.139
465,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.6338331,34.5488866,15.539,-29.067
465,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.224976,17.7073358,15.918,-25.111
465,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.6870565,20.1585188,15.668,-26.622
470,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.6110595,29.243307,16.07,-27.636
470,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.7845856,23.9781315,15.69,-25.831
470,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.625986,18.5399111,15.488,-25.014
475,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.6494133,18.6936405,15.736,-24.708
480,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.7273645,29.8163288,16.479,-26.897
480,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.4913195,29.0187872,15.542,-27.788
480,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,7.397341,26.4038435,15.793,-24.704
480,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,6.7342037,24.7304998,15.668,-26.548
480,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,6.3621071,22.7653867,15.665,-26.295
480,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.3835753,17.5469586,15.107,-24.777
480,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.6049986,23.054277,15.066,-27.042
480,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.3583322,21.5803741,15.248,-24.667
480,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.8962011,23.7500676,15.629,-25.265
485,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.4894496,21.656579,15.948,-25.735
485,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.1756592,22.3889155,15.57,-24.623
490,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.1002495,19.9122116,15.223,-25.253
490,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.1677748,20.4598146,15.132,-24.504
490,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.1152572,20.3077573,15.438,-24.357
490,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.9104038,20.1062664,15.119,-24.834
490,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.2608859,19.8762344,15.087,-23.837
490,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.1767006,21.8969267,15.32,-26.042
490,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.910831,19.2596982,14.897,-23.979
495,below 500mm,3/10/12,70,before Salmonid migration,3,10,fin,Walleye,6.7576316,25.3070812,16.109,-27.381
495,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.3382536,18.027659,16.223,-24.564
495,below 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,7.0359231,25.5386862,16.449,-25.868
500,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,6.8011408,26.5016021,15.72,-27.198
500,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.3122986,22.5962363,15.414,-25.941
500,below 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.9634531,19.4509304,15.725,-26.496
500,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.3464256,21.5968927,15.049,-24.725
500,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.2200173,21.0880449,15.03,-24.568
500,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.3795131,21.0267417,15.931,-24.192
500,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.4468212,21.5591681,16.276,-23.281
500,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.1276882,21.0431344,15.193,-24.839
505,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.2847887,20.8893773,14.967,-24.3
510,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.4451318,28.7544073,16.333,-28.02
510,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.4185206,27.7729249,16.764,-25.437
510,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.0541485,26.3410877,15.555,-26.421
510,above 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,7.2918204,26.1000036,16.372,-26.909
510,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.9608152,20.090772,15.953,-25.299
510,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.993619,19.147068,16.24,-24.232
510,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.2357268,20.5978898,15.575,-25.615
510,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.8771984,25.0875013,15.272,-24.517
510,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.6212698,18.8887974,15.88,-24.141
510,above 500mm,10/12/12,286,after Salmonid migration,10,12,fin,Walleye,6.4347255,25.8325724,14.483,-27.857
510,above 500mm,10/12/12,286,after Salmonid migration,10,12,fin,Walleye,6.041289,23.1181252,14.59,-27.11
520,above 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,7.7335613,27.4463444,15.911,-26.738
520,above 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.2390471,22.0637531,15.435,-23.632
520,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.7746716,19.2250085,15.556,-24.256
520,above 500mm,10/11/12,285,after Salmonid migration,10,11,fin,Walleye,5.6497721,19.1892079,15.786,-24.945
530,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.1975824,27.0851203,16.429,-26.294
530,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,7.213878,24.3298203,14.492,-25.608
530,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,7.4244734,26.7970278,15.023,-25.437
530,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.6232267,23.1362737,16.303,-25.612
530,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.3638739,24.2990484,16.245,-24.145
530,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.8063952,22.5434643,16.246,-23.645
530,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.7900702,19.6992148,15.928,-23.698
535,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.3211338,23.3677755,15.836,-25.971
535,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,7.1960985,20.7872526,15.711,-25.927
540,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.8538003,29.5379607,17.261,-23.923
540,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.5836583,32.7997851,16.124,-28.304
540,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.3431046,21.1523374,15.329,-23.983
540,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.3278416,20.9267239,16.044,-25.659
545,above 500mm,10/12/12,286,after Salmonid migration,10,12,fin,Walleye,6.6508019,24.0295376,15.515,-26.174
550,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.9147873,30.8608927,16.326,-27.576
550,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.6077903,29.36099,16.245,-27.507
550,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.2237702,21.1188747,15.733,-23.34
550,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.1570182,21.1128724,15.751,-23.429
560,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,6.6177555,24.6986112,15.497,-26.649
560,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,9.4077264,36.3286647,17.64,-27.315
560,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,9.1917228,36.2578642,16.955,-27.656
560,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.7222473,22.7926199,16.645,-23.83
560,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.3011302,21.1533526,16.276,-25.757
565,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.2080587,21.5412456,16.405,-25.266
565,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.9126036,23.0211762,16.195,-25.168
570,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.2000626,30.637205,16.698,-27.727
570,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.0860313,30.5233319,15.51,-27.178
570,above 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,6.2387044,21.6831554,16.249,-25.316
570,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.6651938,21.7444418,15.054,-25.721
570,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.5151284,21.9660439,16.661,-25.533
590,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.7462843,30.1497924,17.077,-26.027
590,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.4297324,33.2079863,15.673,-28.442
590,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.7378667,28.3564445,15.861,-28.232
590,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.8768363,34.8484258,16.044,-28.388
590,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.6821938,34.3757043,16.786,-28.476
590,above 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,6.2659862,20.7350754,16.485,-24.01
590,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.4936397,22.3626085,16.342,-25.789
590,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.1346153,19.9710527,16.129,-24.084
590,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.575639,23.6236064,16.141,-24.504
610,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.2146094,26.4676499,16.684,-26.368
610,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.3210258,26.9994336,16.336,-26.281
610,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.0346157,30.7945424,16.649,-28.018
610,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,9.3673081,37.8495944,17.285,-27.507
610,above 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.5501241,18.5258463,16.3,-25.638
610,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,5.4593786,18.4135189,15.87,-22.712
610,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.6686592,23.7669037,16.597,-25.76
615,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.6542673,22.828401,16.518,-23.807
615,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,6.1417667,21.4939075,15.627,-25.893
620,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,9.115817,34.5500355,16.084,-29.021
620,above 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.9684107,19.7548401,16.241,-23.47
630,above 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.118745,20.3452724,16.682,-24.24
670,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,9.0658867,34.2033024,16.073,-26.301
670,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,6.4324475,21.2175629,17.693,-23.378
670,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,5.9472615,23.2052076,17.665,-23.213
670,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.5174589,28.7471293,17.523,-26.454
680,above 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,8.5301136,27.1988097,15.457,-25.142
690,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.7997562,28.635858,16.954,-25.919
690,above 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,8.7079415,32.1754679,17.359,-25.571
690,above 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.875665,19.5736123,16.79,-23.286
700,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,6.6140517,29.517582,18.029,-26.771
700,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.0842172,24.5863677,18.41,-26.128
700,above 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,7.0766988,22.2527861,16.027,-22.797
710,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.4986094,31.7115073,16.746,-27.104
710,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.962941,30.0877094,16.586,-26.655
725,above 500mm,7/8/12,190,during Salmonid migration,7,8,fin,Walleye,5.4091265,17.6375663,17.25,-21.255
730,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.2133031,25.8876504,16.474,-26.714
730,above 500mm,9/8/12,252,after Salmonid migration,9,8,fin,Walleye,6.510475,23.1962476,17.042,-25.553
760,above 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,9.5754182,38.0672877,17.397,-28.44
780,above 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,6.7518519,24.7285095,17.211,-25.842
830,above 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,7.617487,26.3942595,17.4,-23.713
