Identifier 2,percent_n,percent_c,d15N,d13C
mixed yearling Salmonidae,7.2528457,26.3550767,12.437,-25.667
mixed yearling Salmonidae,8.2118245,31.2384917,14.127,-22.783
mixed yearling Salmonidae,7.6559541,28.1615906,14.453,-22.772
mixed yearling Salmonidae,7.249432,26.5496113,12.727,-25.575
mixed yearling Salmonidae,8.0095636,30.0179423,15.39,-23.705
mixed yearling Salmonidae,7.9562646,29.1031942,15.414,-22.791
mixed yearling Salmonidae,7.717696,27.6782368,11.699,-29.256
mixed yearling Salmonidae,7.2169587,26.4859469,12.446,-27.244
mixed yearling Salmonidae,7.2102341,26.4106692,12.4,-26.901
mixed yearling Salmonidae,7.9522177,29.6660549,13.769,-25.178
